record_id,parcel_id_raw,parcel_id_clean,parcel_id_type,flag_category,flag_reason,current_holder,prior_party,location,area,commission_recommendation,source_volume,source_page,flag_source_csv,notes,key_scope,parcel_display,needs_manual_review
annex_45_school_0001,Nairobi,,unknown,school_land_grabbed,Public school land grabbed: Nairobi,Gospel Revival Centre,,Nairobi Province,1.00,Revoke,1,647,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nairobi — held by Gospel Revival Centre,1
annex_45_school_0002,Nairobi,,unknown,school_land_grabbed,Public school land grabbed: Nairobi,K.Cc Shanty Village,,Nairobi Province,4.00,Revoke,1,647,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nairobi — held by K.Cc Shanty Village,1
annex_45_school_0003,Nairobi,,unknown,school_land_grabbed,Public school land grabbed: Nairobi,Kenya Power &Luighting Retiree Project,,Nairobi Province,2.00,Revoke,1,647,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nairobi — held by Kenya Power &Luighting Retiree Project,1
annex_45_school_0004,Muslim Girls' Pry,,unknown,school_land_grabbed,Public school land grabbed: Muslim Girls' Pry,Joseph Muigai,,Nairobi Province,,Revoke,1,647,annex_45_ministry_of_education_science_technology.csv,,none,School land: Muslim Girls' Pry — held by Joseph Muigai,0
annex_45_school_0005,Nairobi,,unknown,school_land_grabbed,Public school land grabbed: Nairobi,International Bible Students Association,,Nairobi Province,7.83,Revoke,1,647,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nairobi — held by International Bible Students Association,1
annex_45_school_0006,Kiambu,,unknown,school_land_grabbed,Public school land grabbed: Kiambu,Jeniffer Ng'endo W A Weru,,Central Province,3.0,Revoke,1,647,annex_45_ministry_of_education_science_technology.csv,,none,School land: Kiambu — held by Jeniffer Ng'endo W A Weru,1
annex_45_school_0007,Kiambu,,unknown,school_land_grabbed,Public school land grabbed: Kiambu,Krishna Dev Handa,,Central Province,4.00,Revoke,1,647,annex_45_ministry_of_education_science_technology.csv,,none,School land: Kiambu — held by Krishna Dev Handa,1
annex_45_school_0008,Kirinyaga,,unknown,school_land_grabbed,Public school land grabbed: Kirinyaga,Fabiano Kunguru,,Central Province,1.00,Revoke,1,648,annex_45_ministry_of_education_science_technology.csv,,none,School land: Kirinyaga — held by Fabiano Kunguru,1
annex_45_school_0009,Kirinyaga,,unknown,school_land_grabbed,Public school land grabbed: Kirinyaga,Mbutiti Kabiru,,Central Province,,Revoke,1,648,annex_45_ministry_of_education_science_technology.csv,,none,School land: Kirinyaga — held by Mbutiti Kabiru,1
annex_45_school_0010,Kirinyaga,,unknown,school_land_grabbed,Public school land grabbed: Kirinyaga,NIB,,Central Province,16.00,Revoke,1,648,annex_45_ministry_of_education_science_technology.csv,,none,School land: Kirinyaga — held by NIB,1
