name,ownership_percent,value_of_land,size,sale_price,method,directors_at_time_of_sale,land_price,date_of_sale,public_share_after,source_page,flag_category,flag_source_csv
Nairobi Oil Products Ltd,29%,5.5 Million,,8750000,Receivership,IDB,5.5 Million,1992,0,438,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Tiger Shoes Company Ltd,16.70%,4 Million,0.5277 Ha,9250000,Receivership,"J.K. Gatuguta, J.G. Kihiu, J.H. Gitau, Hon. Karume, Hon. Muhuri, G.W. Karuri Gitau",,1993,0,438,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Yuken Textiles Ltd,100%,10.4 Million,2.508 Ha,14000000,Receivership,ICDC,,1993,0,438,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Sirikwa Hotel,21%,1.2 Million,,70000000,Receivership,"S.K. Arap Harisin, H. Kitur, Arap Maina, E.M. Musyoka, J.C. Kandagar, E.K. Blint, J.V.K. Arap Too, Z.K. Arap Korir, J.C. Yego",,1993,0,438,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Kenya Drilling Company Ltd,100%,5.4 Million,,21700000,Receivership,ICDC,,1993,0,438,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Seracoatings Limited,34%,45.4 Million,,82000000,Receivership,IDB,,1993,0,438,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Pan Vegetables Processors Ltd,100%,70 Million,292.56 Acres,95000000,Receivership,ICDC,,1994,0,438,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Kenya Taitex Mills Ltd,81%,0.93,30.6 Acres,81000000,Receivership,"Brig(Rtd) P.R. Kakenyi, Mnganga, Mrs. L. Nzoka, E.K. Muntu, P/S Industry",,1994,0,439,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Kenya Furfural Company Ltd,51%,,,55800000,Receivership,ICDC,,1995,0,439,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Kenya Engineering Industries Ltd,50%,,4.062 Acres,52505555,Receivership,"w.d. Masika, ICDC, W. Tomaszewski",,1995,0,439,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Synthetic Fibres (K) Ltd,100%,81.5,86.275 Acres,50000000,Receivership,ICDC,,1994,0,439,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Firestone E.A. Limited,20%,872,93 Acres,1000000000,Pre-emptive Rights,Min. of Industry,,1994,0,439,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Associated Battery Manufacturers Ltd.,20%,36,,154336000,Pre-emptive Rights,Min. of Industry,,1994,0,439,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Chloride Exide (K) Ltd.,41%,,,5154125,Pre-emptive Rights,ICDC,,1994,0,439,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Kenya Fishnet Industries Ltd,43%,,,2418750,Pre-emptive Rights,,,1994,0,439,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
CPC Industries Ltd,18%,,,29523530,Pre-emptive Rights,,,1994,0,439,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Kenya Cashewnut Limited,76%,,350 Acres,78023446,Pre-emptive Rights,,,1994,0,439,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Africa Marine General Engineering Co. Ltd.,,,,30712500,Pre-emptive Rights,"P. Ndegwa, A.C.W. Sinclair, N.M. Mugwandia, D.N. Ndegwa, P.O. Okundi",,1994,0,440,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Sanyo Armco (K) Ltd,34%,4.6,,2521080,Pre-emptive Rights,,,1995,0,440,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Booth Manufacturing Africa Ltd.,29%,2.14,,9993060,Pre-emptive Rights,"C.M. Chandaria, V.R. Chandaria, H. Shah, S. Shah, D. Bhartia",,1995,0,440,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Pollman's Tour & Safaris Ltd,49%,26.5,,25024895,Pre-emptive Rights,,,1993,0,440,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Nestle Foods (K) Ltd.,13%,,,18347750,Pre-emptive Rights,KTDC,,1993,0,440,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Avion Export Services Ltd,14%,,,55000,Pre-emptive Rights,,,1993,0,440,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Avon Rubber Co. (K) Ltd.,20%,,,11949470,Pre-emptive Rights,,,1993,0,440,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Avon Marketing Services Ltd.,18%,,,8078400,Pre-emptive Rights,,,1993,0,440,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Robinson Hotels Mombasa Ltd.,10%,,,50234274,Pre-emptive Rights,KTDC,,1993,0,440,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Pan Afr. Hotels Ltd.,31%,,4.7 Acres,63855000,Pre-emptive Rights,,,1993,0,440,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Y-fashions Ltd.,75%,,,4000000,Pre-emptive Rights,ICDC,,1992,0,441,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
E.A. Spinners Ltd.,75%,73.5,7.1115 Acres,282000000,Receivership,ICDC,,1995,0,441,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Wire Products Ltd.,30%,,,8336250,Pre-emptive Rights,,,1995,0,441,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Canard Metalbox Ltd.,19%,87.2,,39188000,Pre-emptive Rights,,,1995,0,441,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Kenya Bixa Ltd.,51%,8.9,49.98 Acres,35598000,Pre-emptive Rights,Major (Rtd) W.K. Koitaba,,1995,0,441,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Sokoro Fibre Ltd.,26%,,,22007700,Pre-emptive Rights,ICDC,,1995,0,441,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Embu Hotel Limited.,29%,2.2,7.5 Acres,3117690,Pre-emptive Rights,,,1995,0,441,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Kenya Bowling Centres Ltd.,26%,5.3,0.5 Acres,3220000,Pre-emptive Rights,,,1995,0,441,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Lion Hill Camp Ltd.,30%,,4.13 Acres,14400000,Pre-emptive Rights,KTDC,,1995,0,441,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Kenya Fruit Processors Ltd,,,,,,,,,,,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
35%,6.5,,8645000,Pre-emptive Rights,ADC,,1995,0,441,,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Nas Airport Services Ltd.,27%,79.8,,62920000,Pre-emptive Rights,"ICDC, Dr. N. Mungai, P. Ndegwa, F.J. Addly, G.K. Moi",,1995,0,441,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Associated Vehicle Assemblers,51%,7,34 Acres,154336000,Pre-emptive Rights,"Peter Hughes, Lawrence Masaviru",,1996,0,441,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Wananchi Sawmills Ltd.,45%,8.8,2.4 Ha,15444707,Pre-emptive Rights,,,1996,0,442,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Brollo Kenya Limited,10%,54.5,59.5 Acres,35666631,Pre-emptive Rights,,,1996/2002,0,442,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
Kenya Shipping Agency Ltd,80%,35.5,,38416000,Pre-emptive Rights,"KNTC, ICDC, D. Petit, K.S. Dawood, J.D. Muturi, A.K. Kurji",,1996,0,442,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
E.A. Oxygen Ltd.,15%,50.7,,42472080,Public,,,1993,0,442,share_sale_irregularity,annex_21_government_shareholding_corporations.csv
