entity_name,flag_category,source_page,flag_source_csv
42 Nd Limited,company_allocated_land,5,annex_01_companies_alloacted_land.csv
A.I.C. Dev. Trust,company_allocated_land,5,annex_01_companies_alloacted_land.csv
A.J Pereira and & Sons Ltd,company_allocated_land,5,annex_01_companies_alloacted_land.csv
Abbey Lodge Limited,company_allocated_land,5,annex_01_companies_alloacted_land.csv
Aboo Ltd,company_allocated_land,5,annex_01_companies_alloacted_land.csv
Academics Services Limited,company_allocated_land,5,annex_01_companies_alloacted_land.csv
Adlic Investments,company_allocated_land,5,annex_01_companies_alloacted_land.csv
Advest Communications Ltd,company_allocated_land,5,annex_01_companies_alloacted_land.csv
Aerial Developers Ltd,company_allocated_land,5,annex_01_companies_alloacted_land.csv
African Queen Holdings,company_allocated_land,5,annex_01_companies_alloacted_land.csv
Africo Holdings Ltd,company_allocated_land,5,annex_01_companies_alloacted_land.csv
Aga Khan Foundation,company_allocated_land,5,annex_01_companies_alloacted_land.csv
Agida Square Enterprises,company_allocated_land,5,annex_01_companies_alloacted_land.csv
Agm Properties Ltd,company_allocated_land,5,annex_01_companies_alloacted_land.csv
Agri Properties,company_allocated_land,5,annex_01_companies_alloacted_land.csv
Agromatic Flower Farm,company_allocated_land,5,annex_01_companies_alloacted_land.csv
Ajiw A Shamll Ltd,company_allocated_land,5,annex_01_companies_alloacted_land.csv
Akaba Investments Limited,company_allocated_land,5,annex_01_companies_alloacted_land.csv
Akamba Bus Limited,company_allocated_land,5,annex_01_companies_alloacted_land.csv
Akash Investiments,company_allocated_land,5,annex_01_companies_alloacted_land.csv
Al Hisga Investments (Kenya) Ltd,company_allocated_land,5,annex_01_companies_alloacted_land.csv
Alcop Limited,company_allocated_land,5,annex_01_companies_alloacted_land.csv
Alduchira Investment Co. Ltd,company_allocated_land,5,annex_01_companies_alloacted_land.csv
Alhonsa Investments (k) Limited,company_allocated_land,5,annex_01_companies_alloacted_land.csv
Al-Jazeera Investments,company_allocated_land,5,annex_01_companies_alloacted_land.csv
Allavet Ltd,company_allocated_land,5,annex_01_companies_alloacted_land.csv
Alpha Zeta Investments Ltd,company_allocated_land,5,annex_01_companies_alloacted_land.csv
Amhurst Limited,company_allocated_land,5,annex_01_companies_alloacted_land.csv
Anasaka Enterprises,company_allocated_land,5,annex_01_companies_alloacted_land.csv
Andy Forwarders Services Ltd,company_allocated_land,5,annex_01_companies_alloacted_land.csv
Anet Limited,company_allocated_land,5,annex_01_companies_alloacted_land.csv
Ankam Holdings,company_allocated_land,5,annex_01_companies_alloacted_land.csv
Annat Technical Services,company_allocated_land,6,annex_01_companies_alloacted_land.csv
Anshaken Holdings Ltd,company_allocated_land,6,annex_01_companies_alloacted_land.csv
Anti-Pest (K) Ltd,company_allocated_land,6,annex_01_companies_alloacted_land.csv
Antow Trading Co. Ltd,company_allocated_land,6,annex_01_companies_alloacted_land.csv
Anzy Investments Ltd,company_allocated_land,6,annex_01_companies_alloacted_land.csv
Archer & Wilcock Nominess Limited,company_allocated_land,6,annex_01_companies_alloacted_land.csv
Archland Engineering Ltd,company_allocated_land,6,annex_01_companies_alloacted_land.csv
Archman Holdings,company_allocated_land,6,annex_01_companies_alloacted_land.csv
Ariola Investments Ltd,company_allocated_land,6,annex_01_companies_alloacted_land.csv
Aryan Enterprises,company_allocated_land,6,annex_01_companies_alloacted_land.csv
Aryan Enterpnses Limited,company_allocated_land,6,annex_01_companies_alloacted_land.csv
Aspen Developers Co. Ltd,company_allocated_land,6,annex_01_companies_alloacted_land.csv
Associated Electrical & Hardware Suppliers Ltd,company_allocated_land,6,annex_01_companies_alloacted_land.csv
Automotive Syndicate Ltd,company_allocated_land,6,annex_01_companies_alloacted_land.csv
Avalon Consultancy Ltd,company_allocated_land,6,annex_01_companies_alloacted_land.csv
Aviton Enterprises Ltd,company_allocated_land,6,annex_01_companies_alloacted_land.csv
Awen Investments Limited,company_allocated_land,6,annex_01_companies_alloacted_land.csv
Ayunya Enterprises,company_allocated_land,6,annex_01_companies_alloacted_land.csv
Azania Holdings,company_allocated_land,6,annex_01_companies_alloacted_land.csv
Azida Square Enterprises,company_allocated_land,6,annex_01_companies_alloacted_land.csv
Baja Ber Investments Ltd,company_allocated_land,6,annex_01_companies_alloacted_land.csv
Bajaber Ltd,company_allocated_land,6,annex_01_companies_alloacted_land.csv
Bakana (EA) Ltd,company_allocated_land,6,annex_01_companies_alloacted_land.csv
Ballistic Missile Investments Ltd,company_allocated_land,6,annex_01_companies_alloacted_land.csv
Bangra Ltd,company_allocated_land,6,annex_01_companies_alloacted_land.csv
Bantus Investments Ltd,company_allocated_land,6,annex_01_companies_alloacted_land.csv
Baptist Convention of Kenya,company_allocated_land,6,annex_01_companies_alloacted_land.csv
Barsirim Investment Limited,company_allocated_land,6,annex_01_companies_alloacted_land.csv
Basila Enterprises,company_allocated_land,6,annex_01_companies_alloacted_land.csv
