province,district,station,forest,legal_notice,name_of_excision,excision_area_ha,bp_no,year,purpose,request,beneficiary,status,legal_procedure,recommendation,remarks,source_page,flag_source_csv
Central,Kiambu,Kikuyu Escarpment,Kikuyu Escarpment,105 of 1973,,45.33,,,Exchange with 58 77 Ha AIC Mission,African Inland Mission,AIM Kijabe,Fully Occupied,,Uphold the status quo,The area is settled,1,annex_01_forest_excisions_with_legal_notices.csv
Central,Kiambu,Kikuyu Escarpment,Kikuyu Escarpment,6 of 1970,,0.0297,,,Extension of Sasaumua Dam water tank,Nairobi City Council,City Council,Developed,,Uphold the status quo,The area is occupied,1,annex_01_forest_excisions_with_legal_notices.csv
Central,Nyandarua,Kikuyu Escarpment,Kikuyu Escarpment,241 of 1969,,9.18,,,Sasaumua Dam ext,Nairobi City Council,City Council,Developed,,Uphold the status quo,The area is occupied,1,annex_01_forest_excisions_with_legal_notices.csv
Central,Murang'a,Aberdare,Aberdare,171 of 1968,,2751.92,,,National Park,Ministry of Tourism,Department of Wildlife,Developed,,Uphold the status quo,National Park,1,annex_01_forest_excisions_with_legal_notices.csv
Central,Nyandarua,Aberdare,Aberdare,171 of 1968,,756.78,,,National Park,Ministry of Tourism,Department of Wildlife,Developed,,Uphold the status quo,National Park,1,annex_01_forest_excisions_with_legal_notices.csv
Central,Nyeri,Aberdare,Aberdare,171 of 1968,,15.855 93,,,National Park,Ministry of Tourism,Department of Wildlife,Developed,,Uphold the status quo,National Park,1,annex_01_forest_excisions_with_legal_notices.csv
Central,Kiambu,Kikuyu Escarpment,Kikuyu Escarpment,252 of 1993,,27.09,,,For Sawmill Development,Uttam Singh Brar,Individual,Part of the area under sawmill Other part under horticulture,,Revoke,This was an excision for private gain,1,annex_01_forest_excisions_with_legal_notices.csv
Central,Kiambu,Kiambu,Kiambu,260 of 1995,,29.68,,,Private Development,Pelican Eng Company,Individual,Taken Possesion Illegally,,Revoke,This was an excision for private gain Issuance of the title preceeded degazettement,1,annex_01_forest_excisions_with_legal_notices.csv
Central,Nyeri,Hombe,Mount Kenya,13 of 1976,,9.413,,,Land Exchange,Mr W A Murigu,Individual,Fully Occupied,,Uphold the status quo,This area is settled,1,annex_01_forest_excisions_with_legal_notices.csv
Central,Nyeri,Gathiuru,Kiganjo,106 of 1977,,1.103,,,Elliot s Bakery,Individual,Individual,Fully Occupied,,Uphold the status quo,,1,annex_01_forest_excisions_with_legal_notices.csv
Central,Thika,Kikuyu Escarpment,Kikuyu Escarpment,81 of 1980,,36,,,Farming,Individual,Mama Ngina Kenyatta,Fully Occupied,,Uphold the status quo,This was an excision for private gain,1,annex_01_forest_excisions_with_legal_notices.csv
Central,Kirinyaga,Kamweti,Mount Kenya,61 of 1977,,20 43,,,To settle people displaced by Kirinyaga Technical,Ministry of Education,Individuals displaced during expansion of Kirinyaga Tech Institute,Fully Occupied,,Uphold the status quo,The area is settled,2,annex_01_forest_excisions_with_legal_notices.csv
Central,Nyeri,Nyeri,Nyeri,12 of 1976,,80 67,,,Kimathi Institute,Ministry of Education,Institution,Fully Occupied,,Uphold the status quo,The area is occupied,2,annex_01_forest_excisions_with_legal_notices.csv
Central,Nyeri,Nyeri,Nyeri Hill,68 of 1966,,0 08,,,V H F Repeater Station,Ministry of Information,KBC,Fully Occupied,,Uphold the status quo,The area is occupied,2,annex_01_forest_excisions_with_legal_notices.csv
Central,Nyeri,Kiganjo,Kiganjo,199 of 1987,,20,,,Industrial development,Commissioner of Lands,KCC,Fully Occupied,,Uphold the status quo,The area is occupied,2,annex_01_forest_excisions_with_legal_notices.csv
Central,Nyeri,Keini,Kikuyu Escarpment,54 of 1965,,37 85,,,Farming,Kenyatta's Family,Mama Ngina Kenyatta,Fully Occupied,,Revoke,This was an excision for private gain,2,annex_01_forest_excisions_with_legal_notices.csv
Central,Kirinyaga,Kangaita,Mt Kenya,336 of 1965,,56 25,,,Kangaita Tea Factory,Ministry of Agriculture,KTDA,Fully Occupied,,Uphold the status quo,Tea farming is established,2,annex_01_forest_excisions_with_legal_notices.csv
Central,Nyeri,Ragati,Mt Kenya,12 of 1969,,65 25,,,Kagochi Tea Exp Firm,KTDA,KTDA,Fully Occupied,,Uphold the status quo,Tea farming is established,2,annex_01_forest_excisions_with_legal_notices.csv
Central,Kiambu,Muguga,Muguga,62 of 1963,,100 36,,,Settlement,Ministry of Lands,Landless People,Fully Occupied,,Uphold the status quo,The are is settled,2,annex_01_forest_excisions_with_legal_notices.csv
Central,Kiambu,Up-Lands,Kikuyu Escarpment,273 of 1968,,240 39,,,Lari Settlement,Ministry of Lands,Landless People,Fully Occupied,,Uphold the status quo,The are is settled,2,annex_01_forest_excisions_with_legal_notices.csv
Central,Kiambu,Up-Lands,Kikuyu Escarpment,273 of 1968,,781 06,,,Lari Settlement,Ministry of Lands,Landless People,Fully Occupied,,Uphold the status quo,The are is settled,2,annex_01_forest_excisions_with_legal_notices.csv
Central,Kiambu,Muguga,Muguga,73 of 1975,,991 1,,,Muguga Jet Scheme,Ministry of Lands,Landless People,Fully Occupied,,Uphold the status quo,The are is settled,2,annex_01_forest_excisions_with_legal_notices.csv
