record_id,parcel_id_raw,parcel_id_clean,parcel_id_type,flag_category,flag_reason,current_holder,prior_party,location,area,commission_recommendation,source_volume,source_page,flag_source_csv,notes,forest,reserved_use,current_use,allottee_id,allottee_address,legal_gazette_notice,registration_date,title_issue_date,status,needs_manual_review
annex_03_karura_forest_excision_0001,21095,21095,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Stanmore Investment LTD who sold to Kenya National Academy of Sciences,Frank Way Ltd & Another / 16th June 93,Karura,4.236ha,Revoke Title,2,34,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0002,21238,21238,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,,,Karura,,Revoke Title,2,34,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0003,21239/ IR 70953,21239,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Interfarms Enterprises Ltd,Interfarms Enterprises Ltd / 1st Sep 1995 Directors:- Musa cherutich Sirma and Mary Jepkoech Sirma both o box 54 Eldama Ravine,Karura,2.00ha,Revoke Title,2,34,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0004,21240,21240,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,,,Karura,,Revoke Title,2,34,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0005,21241,21241,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,,,Karura,,Revoke Title,2,34,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0006,21242/ IR 67493 CF175783,21242,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,AZIZ ALIBHAI JIWA & AMIN AKBERAH HABIB MANJI,The Nile Source / 1st Oct 1995,Karura,1.994ha,Revoke Title,2,35,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0007,21243 /IR 68353CF 177038,21243,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,,"Silk Investment S Ltd / 1st Oct 1995. Directors: - Rajendra Ratjlal, Sagani and Pradeep Karamshi Shah of Box 46385, and 42067 Nairobi respectively",Karura,1.994,Revoke Title,2,35,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0008,21244,21244,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,,,Karura,,Revoke Title,2,35,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0009,21245,21245,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Mallan Ltd,,Karura,2.94 ha.,Revoke Title,2,35,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0010,21246/ IR 70975 CF 180049,21246,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,,Awen Investments Limited / 1st Sep 1995. Directors:- Jeremiah Kipkurui Sirma and Nancy Jematian Sirma both of Box 22729 Nairobi,Karura,2.00ha,Revoke Title,2,35,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0011,21247,21247,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,,,Karura,,Revoke Title,2,35,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0012,21248,21248,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,,,Karura,,Revoke Title,2,36,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0013,LR 21260,LR,unknown,forest_excision_allotment,Plot allocated in excised Karura Forest,,Texas Instruments,Karura,,Revoke Title,2,36,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,,,,,,,,1
annex_03_karura_forest_excision_0014,21249/IR 71370 CF 177549,21249,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,NYANGAMARA LTD,"Nyangamara Limited / 1st Jan 1996 Directors - General Jackson Kimeu Mulinge, and Mrs Grace Nundu all of box 40668 Nairobi",Karura,1.579ha,Revoke Title,2,36,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0015,21288/ N/A,21288,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,,N/A / 1st Nov 95,Karura,2.75ha,Revoke Title,2,36,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0016,21289 /IR 67609 CF 175987,21289,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,MEGHJI SHAH & SONS LTD,"Mua Holdings Ltd / 1st Nov 95 Directors - Harbans Singh Amrit and Kamal Parkash Amrit Box 45403, Nairobi",Karura,2.75ha,Revoke Title,2,36,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0017,21290 /IR 67956 CF 175988,21290,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,MEGHJI SHAH & SONS LTD,Sonatawi Ltd / 1st Nov 95,Karura,2.260ha,Revoke Title,2,36,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0018,21291,21291,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,,1st Nov 95,Karura,2.260ha,Revoke Title,2,36,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0019,21292,21292,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Racla Ltd,1st Nov. 95,Karura,5.00ha,Revoke Title,2,37,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0020,21293 CF.17003,21293,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,,Total Enterprises Ltd / 1st Nov. 95,Karura,1.274ha,Revoke Title,2,37,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0021,21294 IR.68335 CF178989,21294,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,PYRAMID MANAGEMENT SERVICESLTD,Okinawa Enterprises Ltd/ 1st Nov. 95 Directors:- Reuban Maina and Susan Maina both of Box 47419 Nairobi,Karura,0.40ha,Revoke Title,2,37,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0022,21295 IR.68336,21295,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,GOODWOOD PROPERTIES LTD,Chaumet African Ltd / 1st Nov. 95,Karura,0.4ha,Revoke Title,2,37,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0023,21296 IR 67637 CF 175991,21296,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,PYRAMID MANAGEMENT SERVICESLTD,Sofacom International Ltd / 1st Nov 95,Karura,3.0ha,Revoke Title,2,37,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0024,21297 IR 67638 CF.175992,21297,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,PYRAMID MANAGEMENT SERVICESLTD,Movado Holdings Ltd / 1st Nov 95,Karura,3.0ha,Revoke Title,2,37,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0025,21298 IR68716 CF 175994,21298,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,MTAA HOLDINGS LTD,Mambrui Investmnts Ltd/ 1st Nov. 95,Karura,3ha,Revoke Title,2,37,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0026,21299 IR.68337 CF.175993,21299,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,PYRAMID MANAGEMENT SERVICESLTD,Fired Earth Co. Ltd / 1st Nov 95,Karura,2.998ha,Revoke Title,2,38,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0027,21300 IR.68717 CF175995,21300,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,MTAA HOLDINGS LTD,Texas Instruments Ltd /1st Nov. 95,Karura,0.8016ha,Revoke Title,2,38,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0028,21301 IR68715 CF 175996,21301,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,MTAA HOLDINGS LTD,Nucor Steel Enterprises Ltd /1st Nov. 95,Karura,0.8001ha,Revoke Title,2,38,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
