subject,col2,col3,col4,source_page,flag_source_csv
Kenol Petrol Station,Uhuru Highway/Haile Selassie Avenue round about,Encroaching on public utility and highway,Survey/Mark and Clear,48,annex_04_encroachment_by_petrol_stations.csv
Heshima Filling Station,Langata Road(Opposite Uchumi Supermarket),Langata Road Reserve,Survey/Mark and Clear,48,annex_04_encroachment_by_petrol_stations.csv
Kobil Petrol Station,Langata Road opposite Uchumi Supermarket,Langata Road Reserve,Survey/Mark and Clear,48,annex_04_encroachment_by_petrol_stations.csv
Kenol Petrol Station,Uhuru Highway opposite Cemetery,Built on Kenya Railways Land,Survey/Mark and Clear,48,annex_04_encroachment_by_petrol_stations.csv
Caltex Petrol station,Aerodrome Road near Madaraka Estate,Buily on Road Reserve,Survey/Mark and Clear,48,annex_04_encroachment_by_petrol_stations.csv
Kobil Petrol Station,Langata Rd/Aerodrome Rd Convergence,Built on Road Reserves and Public car Park for Nyayo Stadium,Survey/Mark and Clear,48,annex_04_encroachment_by_petrol_stations.csv
Kenol Petrol Station,Outering Road,Air and Diesel pumps on road reserve,Survey/Mark and Clear,48,annex_04_encroachment_by_petrol_stations.csv
Nakumatt/Kenol Petrol Station,Thika Road opposite entrance to KBL,Encroachmenr on road reserve by 492/2.4920/216/4/2.49922/5/1,Survey/Mark and Clear,48,annex_04_encroachment_by_petrol_stations.csv
Mirema Drive Filing Station,Kamiti Road,Road encroachment dangerous to motorists/Pedestriansnd and public safety,Survey/Mark and Clear,48,annex_04_encroachment_by_petrol_stations.csv
Unibase Petroleum,Kamiti Road,Road encroachment dangerous to motorists/Pedestriansnd and public safety,Survey/Mark and Clear,48,annex_04_encroachment_by_petrol_stations.csv
Kajiado,Nairobi/Namanga Road,Arthi River/Kitengela/Isinya,Surveys Makrks and Clear,42,annex_04_road_encroachment.csv
Kjiado,Road Maintenance Camp,Kajiado/Bisel/Township/Maili Tisa/Namanga Loitokitok,Investigate with a view to revoke,42,annex_04_road_encroachment.csv
