station_key,gazetted_forest,legal_notice,scheme_status,recommendation_short,recommendation_full,varies_by_allottee,needs_manual_review,remarks,source_citation
Sururu,Eastern Mau,142 of 2001,Contested in court,Revoke (subject to court ruling),"Subject to court ruling, revoke the excisions and titles already issued and maintain the areas as forests/catchment areas but put into account the position of the Ogiek as recognized forest inhabitants and any party who may have finalized the exchange of their land with the forest department.",0,0,Part of the Sururu/Likia Settlement Scheme (Eastern Mau ~7284 ha); excision contested in court.,Ndung'u Report Vol III pp155-156; Vol II Annex 16 p667
Likia,Eastern Mau,142 of 2001,Contested in court,Revoke (subject to court ruling),"Subject to court ruling, revoke the excisions and titles already issued and maintain the areas as forests/catchment areas but put into account the position of the Ogiek as recognized forest inhabitants and any party who may have finalized the exchange of their land with the forest department.",0,0,~2290-2833 ha; titles issued though the matter is still pending in court; evidence of double/triple allocation of the same parcel.,Ndung'u Report Vol III pp155-156; Vol II Annex 16 p667
Nessuit,Eastern Mau,142 of 2001,Contested in court,Revoke (subject to court ruling),"Subject to court ruling, revoke the excisions and titles already issued and maintain the areas as forests/catchment areas but put into account the position of the Ogiek as recognized forest inhabitants and any party who may have finalized the exchange of their land with the forest department.",0,0,Nessuit ~4730 ha; scheme has benefited ~1500 individuals already issued title deeds.,Ndung'u Report Vol III p156; Vol II Annex 16 p667
Teret,Eastern Mau,142 of 2001,Contested in court,Revoke (subject to court ruling),"Subject to court ruling, revoke the excisions and titles already issued and maintain the areas as forests/catchment areas but put into account the position of the Ogiek as recognized forest inhabitants and any party who may have finalized the exchange of their land with the forest department.",0,0,Teret ~2117 ha; already fully surveyed and titles issued; average allocation 2.02 ha.,Ndung'u Report Vol III p155; Vol II Annex 16 p667
Ngongongeri,Eastern Mau,142 of 2001,Contested in court,Revoke (subject to court ruling),"Subject to court ruling, revoke the excisions and titles already issued and maintain the areas as forests/catchment areas but put into account the position of the Ogiek as recognized forest inhabitants and any party who may have finalized the exchange of their land with the forest department.",0,0,Ngongongeri ~3642 ha; part of the Eastern Mau settlement under LN 142/2001.,Ndung'u Report Vol III pp155-156; Vol II Annex 16 p667
Marioshoni,Eastern Mau,142 of 2001,Contested in court,Revoke (subject to court ruling),"Subject to court ruling, revoke the excisions and titles already issued and maintain the areas as forests/catchment areas but put into account the position of the Ogiek as recognized forest inhabitants and any party who may have finalized the exchange of their land with the forest department.",0,0,~7284-8300 ha; settlement highly contested by the Ogiek community (Ogiek Welfare Council); mostly unsurveyed; established to compensate clash victims from Chepakundi-Molo South.,Ndung'u Report Vol III p156; Vol II Annex 16 p667
Kapsita Molo,Molo East,145 of 2001,Contested in court,Revoke (subject to court ruling),"Subject to court ruling, revoke the excisions and titles already issued and maintain the areas as forests/catchment areas but put into account the position of the Ogiek as recognized forest inhabitants and any party who may have finalized the exchange of their land with the forest department.",0,0,Kapsita (Molo) ~901.6 ha; surveyed and allocated to individuals before de-gazettement; titles issued; average acreage 0.01-0.9 ha.,Ndung'u Report Vol III p156; Vol II Annex 16 p667
Kapsita Elburgon,Eastern Mau / Bararget (Elburgon),mixed,Mixed by allottee,Mixed — uphold township/school portions; revoke forest/catchment portions,"Recommendation varies by allottee/purpose. Township and school extensions (e.g. Elburgon township, Michinda School): uphold the status quo (area settled/occupied). Portions still under forest, and the Bararget/Elburgon water-catchment excision: Revoke and maintain as forest. Verify each allottee against the Vol II Annex 1/18 entries.",1,1,Kapsita ~3300 ha duly surveyed/registered/titled; Bararget (Elburgon) ~2800 ha excision partially halted because the area is the region's only water catchment.,Ndung'u Report Vol III p156; Vol II Annex 1 pp7-8 / Annex 18 p683
Kitalale,Kitalale,292 of 1994 (also 360 of 1986),Conflicting,Revoke / Investigate (conflicting),"Conflicting recommendations recorded. LN 292 of 1994 (farming, 'excision for private gain'): Revoke. Annex 18 (maize seed development, allocated to 'undeserving influential people'): Investigate excision. LN 360 of 1986 (exchange with land added to Mt Elgon): uphold the status quo. Verify which legal notice governs each plot.",1,1,"Phases I, II and III; area is settled.",Vol II Annex 18 p681; Annex 1 pp9-11
Olenguruone Kiptagich Extension,South Western Mau (Olenguruone) / Eastern Mau (Kiptagich),127 of 1988 / 142 of 2001,Mixed by allottee,Mixed by allottee — revoke individuals/county; legalise public schools; review catchment,Recommendation varies by allottee/purpose. Individual allocations and Bomet County Council (tea development): Revoke. Songiroi Girls Secondary School (school development): Legalise excision. Landless settlement at Olenguruone (LN 127/1988): Review to set aside catchment areas / uphold the status quo but exclude ecologically sensitive areas.,1,1,Olenguruone sits in South Western Mau (LN 127/1988); Kiptagich is an Eastern Mau extension (LN 142/2001). Part of the area was taken up by wealthy individuals including former PS for Internal Security Zakayo Cheruiyot.,Ndung'u Report Vol III p155; Vol II Annex 18 p678 / Annex 1 p10
