record_id,parcel_id_raw,parcel_id_clean,parcel_id_type,flag_category,flag_reason,current_holder,prior_party,location,area,commission_recommendation,source_volume,source_page,flag_source_csv,notes,key_scope,parcel_display,needs_manual_review
annex_03_nairobi_bypasses_0001,7785/117,7785/117,lr,irregular_municipal_allocation,Irregular allocation of public land (Nairobi) (reserved as Road Reserve(By-Pass); current use Residential),Sterora Investment,Steroda Investment Ltd,Nairobi,0.2537,Revoke,1,25,annex_03_nairobi_bypasses.csv,,global,7785/117,0
annex_03_nairobi_bypasses_0002,7785/117,7785/117,lr,irregular_municipal_allocation,Irregular allocation of public land (Nairobi) (reserved as Road Reserve(By-Pass); current use Residential),.:Munir M. Chohan ‘,Munir M. Chohan,Nairobi,0.3997,Revoke,1,25,annex_03_nairobi_bypasses.csv,,global,7785/117,0
annex_03_nairobi_bypasses_0003,94/302,94/302,lr,irregular_municipal_allocation,Irregular allocation of public land (Nairobi) (reserved as Road Reserve(By-Pass); current use Residential),Heron Trading Co. ‘,Heron Trading C. Ltd,Nairobi,0.1107,Revoke,1,25,annex_03_nairobi_bypasses.csv,,global,94/302,0
annex_03_nairobi_bypasses_0004,94/308,94/308,lr,irregular_municipal_allocation,Irregular allocation of public land (Nairobi) (reserved as Road Reserve(By-Pass); current use Residential),Heron Trading C. Ltd,Heron Trading C. Ltd,Nairobi,0.3,Revoke,1,25,annex_03_nairobi_bypasses.csv,,global,94/308,0
annex_03_nairobi_bypasses_0005,94/309,94/309,lr,irregular_municipal_allocation,Irregular allocation of public land (Nairobi) (reserved as Road Reserve(By-Pass); current use Residential),tephen Odinga,Stephen Odinga,Nairobi,0.2088,Revoke,1,25,annex_03_nairobi_bypasses.csv,,global,94/309,0
annex_03_nairobi_bypasses_0006,94/310,94/310,lr,irregular_municipal_allocation,Irregular allocation of public land (Nairobi) (reserved as Road Reserve(By-Pass); current use Residential),Jingle Jungle Ltd,Jingle Jungle Ltd,Nairobi,0.1534,Revoke,1,25,annex_03_nairobi_bypasses.csv,,global,94/310,0
annex_03_nairobi_bypasses_0007,94/311,94/311,lr,irregular_municipal_allocation,Irregular allocation of public land (Nairobi) (reserved as Road Reserve(By-Pass); current use Residential),Henry Musemate,Henry Musemate,Nairobi,0.1708,Revoke,1,25,annex_03_nairobi_bypasses.csv,,global,94/311,0
annex_03_nairobi_bypasses_0008,209/6007,209/6007,lr,irregular_municipal_allocation,Irregular allocation of public land (Nairobi) (reserved as Road Reserve(By-Pass); current use Residential),Maya Consultants Ltd,Maya Consultants Ltd,Nairobi,0.1953,Revoke,1,25,annex_03_nairobi_bypasses.csv,,global,209/6007,0
annex_03_nairobi_bypasses_0009,223013,NAIROBI::223013,plot,irregular_municipal_allocation,Irregular allocation of public land (Nairobi) (reserved as Road Reserve(By-Pass); current use Residential),Lawinex Agencis Ltd,Lwiney Agencis Ltd,Nairobi,0.2,Revoke,1,25,annex_03_nairobi_bypasses.csv,,local,"Plot 223013, Nairobi",0
annex_03_nairobi_bypasses_0010,223014,NAIROBI::223014,plot,irregular_municipal_allocation,Irregular allocation of public land (Nairobi) (reserved as Road Reserve(By-Pass); current use Residential),Metrolands Management,Metrolands Management,Nairobi,0.2,Revoke,1,25,annex_03_nairobi_bypasses.csv,,local,"Plot 223014, Nairobi",0
