parcel_id_clean,key_scope,parcel_id_type,parcel_display,n_findings,volumes,recommendations,record_ids
1/1086,global,lr,1/1086,1,1,Investigate,annex_24_kenya_railways_sold_since_1994_0028
1/111,global,lr,1/111,1,1,Investigate,annex_07_meru_municipality_illegally_allocated_4603
1/1149,global,lr,1/1149,1,1,Investigate,annex_07_meru_municipality_illegally_allocated_4605
1/125,global,lr,1/125,1,1,Investigate,annex_24_kenya_railways_sold_since_1994_0027
1/167,global,lr,1/167,1,1,Investigate,annex_07_meru_municipality_illegally_allocated_4604
1/21,global,lr,1/21,1,1,Revoke,annex_05_nairobi_city_council_0115
1/217,global,lr,1/217,2,1,Revoke,annex_05_nairobi_city_council_0116|annex_05_nairobi_city_council_0117
1/226,global,lr,1/226,1,1,Investigate,annex_07_meru_municipality_illegally_allocated_4606
1/227,global,lr,1/227,1,1,Investigate,annex_07_meru_municipality_illegally_allocated_4606
1/228,global,lr,1/228,1,1,Investigate,annex_07_meru_municipality_illegally_allocated_4606
1/229,global,lr,1/229,1,1,Investigate,annex_07_meru_municipality_illegally_allocated_4602
1/239,global,lr,1/239,1,1,Revoke,annex_05_nairobi_city_council_0554
1/259,global,lr,1/259,1,1,Investigate,annex_07_meru_municipality_illegally_allocated_4587
1/260,global,lr,1/260,1,1,Investigate,annex_07_meru_municipality_illegally_allocated_4587
1/261,global,lr,1/261,1,1,Investigate,annex_07_meru_municipality_illegally_allocated_4587
1/262,global,lr,1/262,1,1,Investigate,annex_07_meru_municipality_illegally_allocated_4587
1/263,global,lr,1/263,1,1,Investigate,annex_07_meru_municipality_illegally_allocated_4587
1/283,global,lr,1/283,1,1,Investigate,annex_07_meru_municipality_illegally_allocated_4609
1/285,global,lr,1/285,1,1,Investigate,annex_24_kenya_railways_sold_since_1994_0037
1/287,global,lr,1/287,1,1,Investigate,annex_24_kenya_railways_sold_since_1994_0038
1/297,global,lr,1/297,1,1,Revoke,annex_08_nakuru_municipality_illegally_allocated_1369
1/313,global,lr,1/313,1,1,Investigate,annex_07_meru_municipality_illegally_allocated_4586
1/391,global,lr,1/391,1,1,Revoke,annex_05_nairobi_city_council_0555
1/394,global,lr,1/394,1,1,Revoke,annex_05_nairobi_city_council_0556
1/418,global,lr,1/418,7,1,Revoke,annex_05_nairobi_city_council_0108|annex_05_nairobi_city_council_0109|annex_05_nairobi_city_council_0110|annex_05_nairobi_city_council_0111|annex_05_nairobi_city_council_0557|annex_05_nairobi_city_council_0558|annex_05_nairobi_city_council_0559
1/419,global,lr,1/419,1,1,Revoke,annex_05_nairobi_city_council_0560
